link,floor,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,pred_price,diff,marker
https://krasnodar.cian.ru/sale/flat/280589800/,5,1,24.0,2700000,2019,24.0,-1.0,3621205.6471461067,34.11872767207803,overpriced
https://krasnodar.cian.ru/sale/flat/269621792/,1,2,38.4,3050000,1917,19.9,9.3,3657733.994478739,19.92570473700783,overpriced
https://krasnodar.cian.ru/sale/flat/279836860/,4,1,25.0,2580000,2021,14.0,-1.0,3399217.9240602595,31.752632715513933,overpriced
https://krasnodar.cian.ru/sale/flat/278800090/,7,1,32.0,3200000,2018,16.0,8.2,3578751.797679102,11.835993677471938,overpriced
https://krasnodar.cian.ru/sale/flat/279453548/,1,1,27.0,3000000,2020,24.0,-1.0,3531346.623078443,17.71155410261477,overpriced
https://krasnodar.cian.ru/sale/flat/276107724/,8,1,24.1,3450000,2016,15.6,5.0,3247358.1601883587,-5.873676516279457,underpriced
https://krasnodar.cian.ru/sale/flat/269307898/,8,1,24.5,3200000,2021,12.7,-1.0,3314732.733111294,3.5853979097279374,overpriced
https://krasnodar.cian.ru/sale/flat/281610668/,9,1,32.0,2950000,2019,26.0,-1.0,3769420.602539875,27.776969577622882,overpriced
https://krasnodar.cian.ru/sale/flat/271869737/,9,1,39.0,3150000,2021,26.0,-1.0,4020583.2264212836,27.63756274353281,overpriced
https://krasnodar.cian.ru/sale/flat/270004309/,1,3,57.0,2100000,-1,41.1,8.0,2528244.2156679193,20.39258169847235,overpriced
https://krasnodar.cian.ru/sale/flat/281387318/,1,2,43.0,2500000,1960,30.0,6.0,3334249.366331675,33.369974653267,overpriced
https://krasnodar.cian.ru/sale/flat/278475470/,6,1,28.0,2800000,2019,20.0,5.0,3554820.4848278924,26.957874458139013,overpriced
https://novorossiysk.cian.ru/sale/flat/282355735/,1,1,28.5,2900000,1982,14.0,7.0,2686296.4462499325,-7.3690880603471545,underpriced
https://krasnodar.cian.ru/sale/flat/278033635/,2,1,32.4,3000000,2021,15.0,9.0,3500524.502172406,16.68415007241353,overpriced
https://krasnodar.cian.ru/sale/flat/279861978/,2,1,30.0,3220000,2014,18.0,6.0,3067208.1773919016,-4.745087658636596,underpriced
https://krasnodar.cian.ru/sale/flat/277842082/,6,-1,33.6,3200000,2022,17.0,6.5,3440782.974923854,7.524467966370445,overpriced
